token_id,Shooting,Defense,Vision,Finish,Total Boost
8760,35,52,44,41,172
1858,51,62,30,71,214
3509,33,70,16,34,153
5857,61,78,52,52,243
5353,55,83,27,60,225
1359,63,31,59,44,197
3009,47,43,15,38,143
3995,30,28,72,46,176
2974,35,53,46,61,195
9177,40,68,36,70,214
7760,37,47,59,28,171
8306,69,38,97,36,240
7990,18,43,46,52,159
8964,55,48,32,32,167
859,52,55,48,29,184
136,42,37,51,48,178
736,37,93,17,54,201
4807,69,47,24,38,178
1581,43,41,29,43,156
9157,42,58,58,51,209
8538,62,34,41,29,166
5732,50,58,52,48,208
4790,41,84,44,62,231
8552,72,79,67,63,281
2760,54,49,54,36,193
2504,67,65,40,45,217
3988,34,41,45,44,164
6059,66,69,62,45,242
3767,54,35,61,42,192
5328,42,66,51,33,192
2584,33,52,40,53,178
4312,50,46,36,37,169
6507,47,73,38,41,199
8152,56,52,73,67,248
2679,48,67,33,27,175
2431,19,26,57,55,157
9773,93,44,40,41,218
3745,47,91,0,34,172
2871,45,75,79,48,247
3064,62,51,56,36,205
4797,74,61,88,38,261
9150,37,36,49,39,161
7310,58,58,32,70,218
8200,25,47,63,60,195
7938,48,41,57,63,209
101,51,53,71,55,230
9954,60,36,43,56,195
8138,32,68,41,53,194
9256,47,57,59,43,206
5915,59,44,47,77,227
6015,36,57,59,36,188
3614,37,56,37,29,159
8063,61,60,49,59,229
1780,51,54,46,60,211
5006,37,56,62,44,199
9281,73,45,64,41,223
9500,60,22,44,38,164
4129,74,55,68,30,227
8699,56,45,52,38,191
853,43,45,62,39,189
2185,32,43,58,60,193
3321,63,42,37,39,181
7331,52,22,44,72,190
5746,51,39,28,57,175
4739,62,62,64,35,223
4702,70,57,36,52,215
9920,43,49,55,36,183
1097,61,67,38,72,238
3539,51,57,47,33,188
2810,44,58,32,38,172
1039,61,38,38,84,221
5178,67,44,38,50,199
8366,19,21,36,47,123
4462,69,42,56,48,215
1162,54,68,59,48,229
2724,69,57,32,59,217
1409,30,48,48,55,181
3706,36,43,52,36,167
2868,60,55,41,35,191
4555,74,57,33,39,203
1920,16,58,51,33,158
5650,46,71,42,82,241
3600,75,20,69,47,211
4350,40,43,40,71,194
6690,49,50,34,30,163
3753,42,50,46,49,187
9876,36,28,60,49,173
5144,81,14,54,59,208
5718,47,72,73,29,221
4454,39,43,34,38,154
9344,59,79,44,67,249
910,54,70,47,44,215
5324,56,34,30,34,154
6840,57,67,89,71,284
5433,41,52,57,28,178
6647,55,44,22,47,168
5808,50,49,38,59,196
5216,66,68,58,66,258
4320,70,71,37,84,262
4729,28,41,34,64,167
4109,58,60,32,33,183
4791,36,47,65,76,224
9674,58,44,46,57,205
3197,31,61,77,69,238
596,65,83,57,55,260
1339,44,53,53,50,200
8625,77,68,59,60,264
4566,34,38,59,49,180
2710,42,56,73,51,222
3675,50,39,53,38,180
8102,38,41,49,60,188
7486,1,66,59,38,164
9442,42,54,43,93,232
5635,21,5,58,23,107
2623,64,71,67,89,291
1168,43,44,28,44,159
8753,62,16,56,55,189
2987,38,42,66,41,187
7338,20,54,54,46,174
6849,50,51,53,70,224
4447,43,33,40,75,191
7729,48,62,51,44,205
9734,75,53,67,55,250
5591,30,46,57,62,195
7569,56,9,50,23,138
9491,52,32,58,10,152
9813,50,67,22,71,210
9820,46,23,50,57,176
3143,60,50,65,41,216
3737,48,71,23,41,183
4956,61,52,58,30,201
4275,85,54,29,67,235
8732,51,45,62,56,214
2678,67,21,59,48,195
3000,53,58,23,80,214
232,71,56,33,36,196
2506,63,37,44,47,191
8243,34,45,46,45,170
645,56,50,69,20,195
9698,53,31,72,65,221
3405,47,58,63,40,208
8233,47,49,64,41,201
2510,58,61,61,47,227
25,46,7,50,40,143
8702,53,52,72,43,220
1645,74,71,69,29,243
211,63,65,69,34,231
2260,42,53,38,43,176
1760,43,41,59,33,176
782,57,21,36,43,157
1027,52,56,60,72,240
3325,42,48,30,61,181
8135,39,29,48,53,169
1110,54,35,69,51,209
1966,74,52,34,52,212
2499,62,47,55,58,222
7920,46,62,37,48,193
742,27,62,62,50,201
7651,56,45,58,33,192
8850,79,48,81,64,272
210,60,54,54,46,214
4630,36,44,34,31,145
9897,65,16,48,69,198
5465,41,33,72,60,206
4999,43,62,49,40,194
2473,40,48,44,22,154
132,50,57,90,67,264
4341,48,66,64,25,203
2161,47,65,28,45,185
3564,49,64,25,66,204
2250,37,44,32,45,158
932,39,32,49,51,171
5194,47,51,49,21,168
8616,35,64,44,62,205
2377,48,57,40,27,172
2496,28,58,58,33,177
7537,19,38,41,37,135
9570,55,44,67,56,222
4603,53,62,51,57,223
2935,79,50,60,26,215
9057,63,52,56,15,186
6670,15,51,39,17,122
1665,29,24,38,55,146
1265,30,56,60,42,188
8336,26,45,85,58,214
6718,43,71,57,34,205
4677,51,70,67,72,260
3172,46,55,26,38,165
505,52,87,23,57,219
4089,75,23,51,54,203
4477,47,39,23,67,176
2502,53,52,60,60,225
6200,79,55,59,34,227
5719,22,83,58,75,238
8262,53,30,58,48,189
3506,33,41,50,53,177
915,45,51,0,33,129
4918,22,14,46,30,112
6438,49,86,61,29,225
9797,48,24,69,35,176
1914,29,29,39,10,107
6204,67,48,70,41,226
9928,71,58,41,42,212
5533,56,15,60,32,163
1065,51,50,57,44,202
2164,58,43,54,61,216
5351,33,74,61,45,213
1775,63,69,32,64,228
8440,51,35,83,62,231
1556,32,48,34,42,156
3396,58,49,25,39,171
8780,41,62,69,42,214
2174,69,55,39,53,216
4740,52,41,74,70,237
1216,58,73,45,31,207
5679,50,59,36,46,191
2919,49,14,60,28,151
4592,52,42,52,50,196
4176,68,54,33,48,203
41,35,59,40,41,175
8100,43,53,49,66,211
8939,30,17,53,65,165
2795,36,64,53,55,208
5484,57,79,68,44,248
6102,70,53,64,11,198
7945,47,59,56,60,222
1238,32,52,82,71,237
495,56,70,53,2,181
995,57,43,34,44,178
6005,47,58,46,70,221
4278,61,65,62,65,253
7668,58,73,58,65,254
7660,71,43,51,23,188
7757,55,78,45,55,233
8821,38,42,68,43,191
2544,39,67,49,49,204
2560,52,60,44,83,239
7530,52,35,64,62,213
5837,63,32,57,47,199
5770,53,48,52,64,217
6932,62,54,58,33,207
5498,72,47,75,58,252
8937,58,55,89,76,278
5246,29,66,38,61,194
6413,56,49,39,61,205
3752,68,72,59,61,260
8285,45,64,29,56,194
49,55,26,59,36,176
6607,47,68,62,67,244
9331,46,48,72,19,185
7655,58,35,56,21,170
6590,46,42,41,60,189
74,69,54,31,58,212
135,25,51,57,44,177
7783,58,62,71,49,240
80,67,61,50,16,194
1843,54,60,40,42,196
5920,36,49,28,66,179
4208,50,51,63,58,222
3296,38,45,43,42,168
3182,47,51,61,39,198
1894,46,25,46,44,161
6586,46,49,51,54,200
5120,86,90,60,13,249
2698,56,50,34,87,227
184,54,66,32,31,183
4660,56,69,36,51,212
6332,57,49,80,44,230
5391,46,45,76,63,230
1883,22,80,76,71,249
6022,19,60,62,53,194
4201,57,42,81,44,224
3195,41,57,24,56,178
5628,68,60,56,41,225
6644,44,53,61,51,209
265,41,65,56,20,182
8763,30,37,55,61,183
7072,47,54,59,7,167
1172,78,60,48,49,235
8929,51,53,52,27,183
9678,37,60,64,60,221
6910,36,56,48,34,174
2923,69,34,66,34,203
7316,60,61,79,62,262
6089,37,36,30,52,155
6899,65,49,46,47,207
7431,29,13,46,38,126
3586,41,56,61,72,230
8849,63,61,70,38,232
2032,55,24,71,59,209
5962,61,55,45,15,176
3893,76,43,42,38,199
9454,51,45,45,26,167
3734,46,51,65,47,209
1802,63,61,40,56,220
2922,24,24,46,60,154
2198,42,46,81,37,206
3759,43,21,50,28,142
6889,55,44,21,39,159
3844,78,45,38,37,198
1016,37,68,29,47,181
3700,77,48,57,58,240
7553,28,54,49,69,200
8877,68,60,57,37,222
9159,54,58,61,29,202
3450,64,60,33,62,219
9069,66,47,79,52,244
9207,58,56,68,71,253
4922,58,50,36,68,212
3720,28,29,51,22,130
9472,53,72,75,39,239
9748,21,64,22,55,162
8899,71,52,50,49,222
3713,41,68,46,51,206
9323,38,20,50,36,144
234,59,43,76,47,225
5457,56,44,72,25,197
9255,70,46,56,42,214
3732,33,59,51,67,210
2503,64,71,30,76,241
5608,36,40,45,83,204
7115,44,51,37,37,169
7825,21,27,59,54,161
1988,48,40,45,62,195
8957,58,53,79,32,222
1066,50,39,34,62,185
6356,40,76,81,77,274
9481,67,52,55,51,225
4480,49,35,36,78,198
6881,20,71,23,37,151
8598,38,46,45,65,194
8221,59,70,48,55,232
2593,34,42,57,66,199
8142,57,63,23,55,198
8400,71,68,32,52,223
3215,80,34,46,48,208
7598,46,39,60,35,180
461,55,55,58,47,215
4885,59,65,40,46,210
8574,19,51,30,32,132
451,52,48,62,53,215
8127,29,92,81,66,268
5334,57,41,40,27,165
9211,29,37,61,37,164
817,39,63,43,44,189
8017,14,38,54,45,151
1263,44,19,49,52,164
8022,40,54,68,64,226
8097,53,28,43,58,182
8125,48,46,73,77,244
1944,66,63,47,32,208
2429,27,38,39,54,158
2775,42,41,57,62,202
6599,48,59,62,53,222
9257,47,64,63,49,223
1904,54,39,72,35,200
410,54,20,47,37,158
5421,50,61,55,54,220
502,53,27,30,48,158
7067,50,63,46,66,225
3695,35,15,72,52,174
5079,44,22,53,40,159
6353,60,51,74,15,200
5308,37,67,66,23,193
3528,53,23,18,33,127
51,52,66,28,28,174
